id;namespace_id;namespace_name;role_name;original_name;repository_id;repository_name;repository_original_name;provider_namespace_id;provider_name;provider_display_name;repository__provider__namespace__name
4415;2759;glennr;oh-my-zsh;oh-my-zsh;73126;oh-my-zsh;glennr.oh-my-zsh;2734;glennr;Glenn Roberts;glennr
2647;5443;bastly;openssl-gather;openssl-gather;73131;openssl-gather;ansible-openssl-gather;5443;bastly;;bastly
5546;6071;elao;env;env;33320;env;ansible-role-env;1291;ElaoInfra;Elao - Infra;ElaoInfra
6405;2428;klousiaj;wso2-greg;wso2-greg;73147;wso2-greg;wso2-greg;2407;klousiaj;J.P. Klousia;klousiaj
6268;1905;jpparsons;docker-selenium;docker-selenium;73161;docker-selenium;ansible-role-docker-selenium;1887;jpparsons;;jpparsons
1648;38;lefant;openwrt-firewall;openwrt-firewall;48296;openwrt-firewall;ansible-openwrt-firewall;38;lefant;Fabian Linzberger;lefant
8170;1780;mamercad;elrepo;elrepo;29192;elrepo;ansible-elrepo;1764;mamercad;Mark Mercado;mamercad
6240;3310;mats116;pandorafms-server;pandorafms-server;73191;pandorafms-server;ansible-role-pandorafms-server;3282;mats116;Kazuki Matsuda;mats116
5385;4440;ant31;debian-conf;debian-conf;73205;debian-conf;role-debian-conf;4723;ant31-ansible;;ant31-ansible
5381;4440;ant31;emacs-conf;emacs-conf;73213;emacs-conf;role-emacs-conf;4723;ant31-ansible;;ant31-ansible
19781;1158;ipr-cnrs;nftables;nftables;49438;nftables;nftables;1146;ipr-cnrs;Institut de Physique de Rennes;ipr-cnrs
7809;3291;andrewrothstein;mosh;mosh;25540;mosh;ansible-mosh;3263;andrewrothstein;Andrew Rothstein;andrewrothstein
5950;3145;marconius;phantomjs;phantomjs;37020;phantomjs;ansible-role-phantomjs;1541;nfb-onf;NFB/ONF;nfb-onf
3991;6087;tholder;nginx-unicorn;nginx-unicorn;73233;nginx-unicorn;ansible-nginx-unicorn;2430;simpleweb;Simpleweb;simpleweb
5549;6071;elao;files;files;33323;files;ansible-role-files;1291;ElaoInfra;Elao - Infra;ElaoInfra
1187;4270;gcporras;virtualenvwrapper;virtualenvwrapper;73322;virtualenvwrapper;ansible-role-virtualenvwrapper;4270;gcporras;;gcporras
5584;6071;elao;gearman;gearman;33324;gearman;ansible-role-gearman;1291;ElaoInfra;Elao - Infra;ElaoInfra
2474;6045;aalda;nexus-oss;nexus-oss;45548;nexus-oss;ansible-nexus-oss;187;codingbunch;Coding Bunch;codingbunch
4832;126;michaelcontento;mandrill;mandrill;73877;mandrill;ansible-mandrill;125;michaelcontento;Michael Contento;michaelcontento
6767;6192;virtualenv;mysql;mysql;73510;mysql;ansible-role-virtualenv-mysql;2098;wosg-virtualenv;;wosg-virtualenv
981;5130;xcezx;aliases;aliases;27780;aliases;ansible-aliases;5130;xcezx;;xcezx
7437;3535;jeqo;payara;payara;25137;payara;ansible-role-payara;3503;jeqo;Jorge Quilcate Otoya;jeqo
952;2692;agios;unicorn-rvm;unicorn-rvm;73295;unicorn-rvm;ansible-unicorn-rvm;2668;agios;Alexandros Giouzenis;agios
22627;3317;cevich;touchstone;touchstone;59396;touchstone;touchstone;3289;cevich;Chris Evich;cevich
7918;3665;nimeshjm;fail2ban;fail2ban;73302;fail2ban;ansible-role-fail2ban;3631;nimeshjm;Nimesh Manmohanlal;nimeshjm
1748;288;kawaz;softether-server;softether-server;38406;softether-server;ansible-role-softether-server;285;kawaz;Yoshiaki Kawazu;kawaz
3261;6182;jerker.montelius;selinux_disable;selinux_disable;33048;selinux_disable;selinux_disable;2466;jermon;Jerker Montelius;jermon
3563;2148;aaronpederson;grafana;grafana;29279;grafana;ansible-grafana;2130;aaronpederson;Aaron Pederson;aaronpederson
20047;39;mhutter;docker-systemd-service;docker-systemd-service;49777;docker-systemd-service;ansible-docker-systemd-service;39;mhutter;Manuel Hutter;mhutter
